STOD	NAFN	TEG	BREIDD	LENGD	BREIDD_Y	LENGD_X	H_STOD	EIG	UPPHAF	ENDIR
6745	Kerlingarfjöll - Ásgarðsfjall	sj	64°40.859'	19°16.961'	64.68098	19.28268	925.0	Veðurstofa Íslands	2017	(null)
6748	Setur	sj	64°36.258'	19°01.116'	64.6043	19.0186	693.0	Landsvirkjun	1997	(null)
6760	Þúfuver	sj	64°34.914'	18°35.924'	64.5819	18.59874	620.0	Landsvirkjun	1993	(null)
6776	Hágöngur	sj	64°34.270'	18°06.665'	64.57117	18.11108	819.0	Landsvirkjun	2004	(null)
6802	Húsafell	sj	64°41.939'	20°52.140'	64.69898	20.869	132.8	Veðurstofa Íslands	1998	(null)
6935	Hveravellir	sj	64°52.005'	19°33.733'	64.86675	19.56222	641.0	Veðurstofa Íslands	1996	(null)
6975	Sandbúðir	sj	64°55.985'	17°59.332'	64.93308	17.988867	820.0	Landsvirkjun	1993	(null)
7001	Fagradagsfjall - Hagafell	sj	63°55.242'	22°14.978'	63.920708	22.249632	270.0	Veðurstofa Íslands	2023	(null)
7002	Færanleg veðurstöð 2	sj	64°07.740'	21°54.482'	64.12899	21.90803	60.2	Veðurstofa Íslands	2023	(null)
7078	Sómastaðagerði	sj	65°01.987'	14°06.660'	65.03312	14.111	31.4	Veðurstofa Íslands	1998	2003
7090	Ísakot	sj	64°07.165'	19°42.284'	64.119415	19.704733	248.0	Landsvirkjun	2011	2013
7091	Haf við Ísakot	sj	64°08.016'	19°43.519'	64.1336	19.725317	279.0	Landsvirkjun	2011	2013
7092	Þjórsárdalur	sj	64°06.938'	19°52.799'	64.11563	19.879984	160.0	Landsvirkjun	2011	2013
7093	Þorlákshöfn - vestur	sj	63°50.496'	21°30.462'	63.8416	21.5077	6.0	Landsvirkjun	2011	2013
7094	Háfshverfi	sj	63°46.247'	20°41.298'	63.770786	20.6883	4.0	Landsvirkjun	2011	2013
7272	Kirkjubæjarklaustur - hitamælaskýli	sj	63°47.520'	18°03.060'	63.792	18.051	38.3	Veðurstofa Íslands	2008	2012
7273	Kirkjubæjarklaustur - nýtt hitamælaskýli	sj	63°47.368'	18°03.256'	63.78947	18.05427	29.5	Veðurstofa Íslands	2009	2012
7275	Vík í Mýrdal - hitamælaskýli	sj	63°25.211'	19°00.587'	63.42018	19.00978	15.0	Veðurstofa Íslands	2012	2012
7276	Bergstaðir - hitamælaskýli	sj	65°42.179'	19°36.782'	65.70298	19.61303	43.0	Veðurstofa Íslands	2012	2012
7365	Fagradalsfjall	sj	63°53.622'	22°17.121'	63.89371	22.28535	320.0	Veðurstofa Íslands	2021	2022
7366	Langihryggur	sj	63°52.544'	22°15.329'	63.87573	22.25548	262.0	Veðurstofa Íslands	2022	2022
7370	Hvassahraun - Rjúpnadalshraun	sj	64°01.065'	22°05.988'	64.01775	22.0998	34.0	Veðurstofa Íslands	2020	(null)
7470	Reykjavík Háahlíð sólgeislun	sj	64°07.734'	21°54.511'	64.1289	21.90852	60.2	Veðurstofa Íslands	2022	(null)
7472	Vaðlaheiði II	sj	65°44.899'	18°00.127'	65.748314	18.00211	580.0	Veðurstofa Íslands	2022	(null)
7474	Reykjavík turnþak	sj	64°07.656	21°54.245'	64.1276	21.9041	52.0	Veðurstofa Íslands	2000	(null)
7475	Reykjavík búveðurstöð	sj	64°07.646'	21°54.146'	64.12743	21.90243	52.0	Veðurstofa Íslands	2000	(null)
7476	Reykjavík sólgeislun	sj	64°07.656'	21°54.130'	64.1276	21.90217	52.0	Veðurstofa Íslands	2007	(null)
7477	Reykjavík tilraunarstöð	sj	64°07.744'	21°54.481'	64.12907	21.908012	60.2	Veðurstofa Íslands	2018	2022
7479	Hamrahlíð	sj	64°08.394'	21°44.628'	64.1399	21.7438	70.0	Veðurstofa Íslands	1994	2001
7481	Heiðmörk	sj	64°04.558'	21°46.264'	64.07597	21.77107	130.0	Veðurstofa Íslands	2018	(null)
7601	Auðbjargarstaðabrekka	sj	66°05.977'	16°58.211'	66.09962	16.97018	192.0	Veðurstofa Íslands	1998	2002
7631	Flateyri Innra Bæjargil	sj	66°03.816'	23°30.120'	66.0636	23.502	590.0	Veðurstofa Íslands - Ofanflóð	2020	(null)
7632	Flateyri Miðhryggsgil	sj	66°03.709'	23°29.137'	66.06182	23.485613	663.0	Veðurstofa Íslands - Ofanflóð	2020	(null)
7633	Flateyri - Eyrarfjall	sj	66°04.146'	23°29.679'	66.0691	23.49465	640.0	Veðurstofa Íslands - Ofanflóð	2021	(null)
7636	Þverfjall II	sj	66°02.686'	23°18.458'	66.04477	23.30764	741.0	Veðurstofa Íslands	2020	(null)
7659	Ólafsfjörður - Tindaöxl	sj	66°03.782'	18°37.854'	66.06303	18.6309	450.0	Veðurstofa Íslands - Ofanflóð	2006	(null)
7711	Langjökull - stöð c	sj	64°38.267'	20°33.169'	64.36778	20.552822	858.0	Veðurstofa Íslands	2023	2023
7712	Langjökull - stöð t	sj	64°38.259'	20°33.178'	64.63765	20.552967	859.0	Veðurstofa Íslands	2023	2023
7736	Bolungarvík - Traðargil	sj	66°10.105'	23°16.084'	66.16842	23.26807	500.0	Veðurstofa Íslands - Ofanflóð	2006	(null)
7738	Bolungarvík - Snjóflóðavarnargarður	sj	66°09.633'	23°15.881'	66.16055	23.26468	45.0	Veðurstofa Íslands - Ofanflóð	2016	(null)
7751	Fífladalir	sj	66°09.141'	18°56.174'	66.15235	18.93623	546.0	Veðurstofa Íslands	1996	2005
7752	Fífladalir Hvanneyrarskál	sj	66°09.221'	18°56.235'	66.15368	18.93725	600.0	Veðurstofa Íslands	2005	2006
7753	Siglufjörður - Hafnarfjall	sj	66°09.212'	18°56.112'	66.15353	18.9352	550.0	Veðurstofa Íslands - Ofanflóð	2006	(null)
7777	Hvanneyri akur	sj	64°34.006'	21°44.470'	64.5676	21.7411	10.0	Veðurstofa Íslands	2023	(null)
7783	Stafholtsey - hitamælaskýli	sj	64°38.516'	21°35.445'	64.64193	21.59075	14.0	Veðurstofa Íslands	2010	2010
7790	Dyngjujökull	sj	64°30.235'	17°14.088'	64.5039	17.2348	1689.0	Veðurstofa Íslands	2016	(null)
31109	Arnarnesvegur	sj	64°05.325'	21°50.194'	64.08875	21.836569	116.4	Vegagerðin	2016	(null)
31122	Miklidalur	sj	65°34.842'	23°51.312'	65.5807	23.8552	370.0	Vegagerðin	2009	(null)
31363	Reykjanesbraut	sj	64°00.160'	22°13.774'	64.00267	22.22957	25.0	Vegagerðin	1995	(null)
31364	Grindavíkurvegur	sj	63°52.100'	22°25.412'	63.868332	22.423532	57.0	Vegagerðin	2012	(null)
31365	Festarfjall	sj	63°51.569'	22°20.615'	63.85948	22.343582	135.0	Vegagerðin	2012	(null)
31380	Selvogur	sj	63°50.736'	21°41.751'	63.8456	21.69585	20.0	Vegagerðin	2012	(null)
31387	Þrengsli	sj	63°59.254'	21°27.797'	63.98757	21.46328	260.0	Vegagerðin	1997	(null)
31392	Hellisheiði	sj	64°01.127'	21°20.543'	64.01878	21.34238	360.0	Vegagerðin	1992	(null)
31399	Ingólfsfjall	sj	63°57.444'	21°03.797'	63.9574	21.06328	51.0	Vegagerðin	2006	(null)
31474	Garðabær - Vífilsstaðavegur	sj	64°05.007'	21°53.777'	64.08345	21.89628	48.0	Vegagerðin	1998	2008
31475	Garðabær - Kauptún	sj	64°04.779'	21°54.172'	64.07965	21.902866	42.0	Vegagerðin	2017	(null)
31484	Sandskeið	sj	64°03.566'	21°31.698'	64.05943	21.5283	190.0	Vegagerðin	1999	2012
31488	Sandskeið	sj	64°03.746'	21°33.462'	64.06243	21.557697	180.0	Vegagerðin	2012	(null)
31561	Einarsnes í Skerjafirði	sj	64°07.846'	21°57.182'	64.13077	21.95303	10.0	Gatnamálastjórinn í Reykjavík	1998	2011
31562	Víkurvegur í Grafarvogi	sj	64°08'	21°47'	64.13333	21.78333	40.0	Gatnamálastjórinn í Reykjavík	1998	2011
31572	Akrafjall	sj	64°18.631'	21°57.963'	64.31052	21.96605	37.0	Vegagerðin	2009	(null)
31577	Blikdalsá	sj	64°15.984'	21°49.973'	64.266396	21.832878	46.0	Vegagerðin	2012	(null)
31578	Tíðaskarð	sj	64°17.222'	21°48.719'	64.28703	21.811983	65.0	Vegagerðin	2020	(null)
31579	Kjalarnes	sj	64°12.639'	21°46.002'	64.21065	21.7667	10.0	Vegagerðin	1998	(null)
31591	Mosfellsheiði	sj	64°12.842'	21°20.686'	64.214035	21.344767	270.0	Vegagerðin	2012	(null)
31599	Gjábakki	sj	64°14.887'	21°01.382'	64.248116	21.023033	132.0	Vegagerðin	2012	(null)
31640	Reykjanesviti	sj	63°48.936'	22°42.259'	63.815605	22.70432	20.0	Vegagerðin	2021	(null)
31674	Hafnarfjall	sj	64°28.528'	21°57.617'	64.47547	21.96028	25.0	Vegagerðin	1995	(null)
31840	Hraunsmúli	sj	64°49.324'	23°11.361'	64.82207	23.18935	10.0	Vegagerðin	1999	(null)
31882	Kolás	sj	64°41.734'	21°38.134'	64.695564	21.6359	66.0	Vegagerðin	2012	(null)
31931	Fróðárheiði	sj	64°50.872'	23°28.843'	64.84787	23.48072	361.0	Vegagerðin	1995	(null)
31932	Búlandshöfði	sj	64°56.194'	23°30.201'	64.93657	23.50335	25.0	Vegagerðin	2010	(null)
31942	Kolgrafafjarðarbrú	sj	64°57.987'	23°07.560'	64.96645	23.126	3.0	Vegagerðin	2005	(null)
31943	Kolgrafafjörður	sj	64°54.664'	23°05.251'	64.91107	23.08752	20.0	Vegagerðin	1999	2012
31948	Vatnaleið	sj	64°54.571'	22°51.895'	64.90952	22.86492	226.0	Vegagerðin	2001	(null)
31950	Stórholt	sj	64°59.154'	22°48.512'	64.9859	22.808533	70.0	Vegagerðin	2012	(null)
31953	Kerlingarskarð	sj	64°54'	22°48'	64.9	22.8	180.0	Vegagerðin	1996	2001
31958	Hafursfell	sj	64°49.859'	22°31.969'	64.83098	22.53282	65.0	Vegagerðin	2009	(null)
31985	Brattabrekka	sj	64°52.298'	21°30.927'	64.87163	21.51545	390.0	Vegagerðin	1998	(null)
31986	Brattabrekka - suður	sj	64°51.979'	21°31.066'	64.86632	21.517767	400.0	Vegagerðin	2022	2023
32097	Holtavörðuheiði	sj	64°59.395'	21°03.457'	64.98992	21.05762	370.0	Vegagerðin	1995	(null)
32179	Svínadalur í Dölum	sj	65°18.351'	21°44.377'	65.30585	21.73962	230.0	Vegagerðin	2002	(null)
32190	Laxárdalsheiði	sj	65°12.395'	21°19.661'	65.20658	21.32768	200.0	Vegagerðin	2000	(null)
32224	Kleifaheiði	sj	65°31.030'	23°43.266'	65.51717	23.7211	400.0	Vegagerðin	1996	(null)
32250	Flatey á Breiðafirði	sj	65°22.314'	22°55.714'	65.371895	22.92856	6.0	Vegagerðin	2023	(null)
32281	Kleifar í Gilsfirði	sj	65°27.300'	21°39.863'	65.455	21.66438	30.0	Vegagerðin	1994	2002
32282	Gilsfjörður	sj	65°25.104'	21°54.038'	65.4184	21.90063	20.0	Vegagerðin	1993	2012
32322	Hálfdán	sj	65°38.667'	23°42.635'	65.64445	23.71058	525.0	Vegagerðin	1995	(null)
32355	Klettsháls	sj	65°39.298'	22°36.530'	65.65497	22.60883	330.0	Vegagerðin	1999	(null)
32365	Hjallaháls	sj	65°33.840'	22°14.765'	65.564	22.246082	305.0	Vegagerðin	2012	(null)
32372	Gillastaðamelar	sj	65°31.663'	22°01.403'	65.52772	22.02338	72.0	Vegagerðin	2009	(null)
32377	Þröskuldar	sj	65°33.145'	21°49.981'	65.55242	21.83302	370.0	Vegagerðin	2009	(null)
32390	Ennisháls	sj	65°34.342'	21°19.740'	65.57237	21.329	260.0	Vegagerðin	1998	(null)
32439	Dynjandisheiði	sj	65°42.612'	23°12.238'	65.7102	23.20397	504.0	Vegagerðin	2001	2012
32440	Dynjandisheiði II	sj	65°42.953'	23°11.062'	65.71588	23.18437	444.0	Vegagerðin	2001	2012
32474	Steingrímsfjarðarheiði	sj	65°45.019'	22°07.748'	65.75032	22.12913	440.0	Vegagerðin	1995	(null)
32533	Gemlufallsheiði	sj	65°56.437'	23°26.184'	65.94	23.4364	250.0	Vegagerðin	2009	(null)
32635	Botn í Súgandafirði	sj	66°04.850'	23°22.398'	66.08083	23.3733	270.0	Vegagerðin	2012	(null)
32643	Óshlíð	sj	66°07.679'	23°08.001'	66.12798	23.13335	24.0	Vegagerðin	2006	2012
32654	Ögur	sj	66°02.693'	22°40.902'	66.04488	22.6817	40.0	Vegagerðin	1997	(null)
33023	Arnarvatnsheiði - Stórisandur	sj	65°01.017'	20°03.525'	65.01695	20.05875	797.0	Vegagerðin	2004	2008
33142	Eyvindarstaðaheiði	sj	65°15.148'	19°18.743'	65.25247	19.31238	711.0	Vegagerðin	2004	2012
33204	Gauksmýri	sj	65°20.665'	20°48.239'	65.34442	20.80398	120.0	Vegagerðin	2006	(null)
33357	Öxnadalsheiði	sj	65°28.057'	18°41.923'	65.46762	18.69872	540.0	Vegagerðin	1995	(null)
33394	Mývatnsheiði	sj	65°36.855'	17°13.014'	65.61425	17.2169	350.0	Vegagerðin	1999	(null)
33419	Blönduós Vegagerðarstöð	sj	65°40.007'	20°14.296'	65.66678	20.23827	40.0	Vegagerðin	1998	(null)
33424	Þverárfjall	sj	65°46.803'	20°01.113'	65.78005	20.01855	330.0	Vegagerðin	2003	(null)
33431	Vatnsskarð	sj	65°30.510'	19°41.670'	65.5085	19.6945	420.0	Vegagerðin	1996	(null)
33451	Miðsitja í Skagafirði	sj	65°29.406'	19°17.177'	65.4901	19.286283	41.0	Vegagerðin	2017	(null)
33480	Kaldakinn	sj	65°44.557'	17°35.520'	65.742615	17.592	120.0	Vegagerðin	2013	(null)
33487	Fljótsheiði	sj	65°41.821'	17°30.194'	65.69701	17.503233	238.0	Vegagerðin	2012	(null)
33495	Hólasandur	sj	65°44.242'	17°06.340'	65.73737	17.10567	350.0	Vegagerðin	1996	(null)
33563	Hámundarstaðaháls	sj	65°57.105'	18°27.557'	65.95175	18.45928	103.0	Vegagerðin	2008	(null)
33576	Víkurskarð	sj	65°48.809'	17°59.523'	65.813484	17.99205	325.0	Vegagerðin	1995	(null)
33643	Stafá	sj	66°04.265'	19°16.707'	66.07108	19.27845	40.0	Vegagerðin	2012	(null)
33652	Hólshyrna	sj	66°07.901'	18°54.137'	66.13168	18.902283	56.0	Vegagerðin	2020	(null)
33654	Héðinsfjörður	sj	66°06.134'	18°48.777'	66.102234	18.81295	20.0	Vegagerðin	2010	(null)
33661	Ólafsfjarðarvegur við Sauðanes	sj	66°02.542'	18°31.246'	66.04235	18.52075	73.0	Vegagerðin	2010	(null)
33750	Siglufjarðarvegur	sj	66°07.739'	19°04.328'	66.12898	19.07213	20.0	Vegagerðin	1995	(null)
33751	Siglufjarðarvegur Herkonugil	sj	66°10.702'	18°58.512'	66.17837	18.9752	66.0	Vegagerðin	2010	(null)
34073	Fagridalur	sj	65°07.585'	14°19.960'	65.12642	14.33267	350.0	Vegagerðin	1996	(null)
34075	Fáskrúðsfjarðargöng norður	sj	65°00.600'	14°11.880'	65.01	14.198	135.0	Vegagerðin	2007	2012
34081	Græfur í Fagradal	sj	65°10.030'	14°20.337'	65.16817	14.33895	322.0	Vegagerðin	2017	(null)
34087	Oddsskarð	sj	65°03.824'	13°55.124'	65.06373	13.91873	520.0	Vegagerðin	1995	(null)
34148	Jökuldalur	sj	65°18.117'	15°13.424'	65.30195	15.223733	473.0	Vegagerðin	2012	(null)
34175	Fjarðarheiði	sj	65°15.968'	14°15.538'	65.26613	14.25897	600.0	Vegagerðin	1995	(null)
34238	Möðrudalsöræfi II	sj	65°27.419'	15°35.130'	65.45698	15.5855	550.0	Vegagerðin	2000	(null)
34239	Möðrudalsöræfi	sj	65°27.457'	15°24.947'	65.45762	15.41578	558.0	Vegagerðin	2001	2001
34326	Biskupsháls	sj	65°33.501'	16°00.680'	65.55835	16.01133	521.0	Vegagerðin	2007	(null)
34346	Vopnafjarðarheiði I	sj	65°29.120'	15°32.774'	65.48533	15.54623	580.0	Vegagerðin	1995	2001
34347	Vopnafjarðarheiði	sj	65°35.471'	15°17.531'	65.59118	15.29218	484.0	Vegagerðin	2001	2012
34348	Vopnafjarðarheiði	sj	65°35.679'	15°18.947'	65.59465	15.315783	440.0	Vegagerðin	2012	(null)
34382	Vatnsskarð eystra	sj	65°33.740'	13°59.384'	65.56233	13.98973	430.0	Vegagerðin	1999	(null)
34413	Mývatnsöræfi	sj	65°39.454'	16°30.034'	65.65757	16.50057	390.0	Vegagerðin	1998	(null)
34415	Dettifoss	sj	65°48.897'	16°26.585	65.81495	16.443083	373.0	Vegagerðin	2023	(null)
34450	Hauksstaðir	sj	65°39.424'	15°09.911'	65.65707	15.165183	212.0	Vegagerðin	2012	(null)
34559	Sandvíkurheiði	sj	65°53.482'	14°49.519'	65.89137	14.82532	275.0	Vegagerðin	1997	(null)
34700	Tjörnes - Gerðibrekka	sj	66°08.921'	16°58.514'	66.14868	16.97523	93.0	Vegagerðin	2004	(null)
34732	Hófaskarð	sj	66°17.906'	15°53.596'	66.29843	15.893267	217.0	Vegagerðin	2010	(null)
34733	Hálsar	sj	66°15.189'	15°48.968'	66.25315	15.81613	180.0	Vegagerðin	1995	(null)
35107	Hvaldalsá	sj	64°25.212'	14°32.255'	64.4202	14.537583	110.0	Vegagerðin	2016	(null)
35116	Borgarhöfn	sj	64°11.090'	15°48.870'	64.18483	15.8145	20.0	Vegagerðin	2019	(null)
35305	Öræfi	sj	63°56.321'	16°47.751'	63.93868	16.79585	75.0	Vegagerðin	1995	(null)
35315	Kvísker Vegagerðarstöð	sj	63°57.576'	16°25.465'	63.9596	16.42442	30.0	Vegagerðin	2002	(null)
35553	Almannaskarð - göng	sj	64°16.980'	15°02.280'	64.283	15.038	(null)	Vegagerðin	2009	2012
35666	Hvalnes	sj	64°24.445'	14°32.360'	64.40742	14.53933	20.0	Vegagerðin	2000	(null)
35769	Hamarsfjörður	sj	64°39.349'	14°27.163'	64.655815	14.452717	19.0	Vegagerðin	2010	(null)
35880	Streiti	sj	64°43.197'	14°02.177'	64.71995	14.03628	10.0	Vegagerðin	2008	(null)
35884	Kambaskriður	sj	64°47.889'	13°53.407'	64.79815	13.890117	37.0	Vegagerðin	2010	(null)
35963	Öxi	sj	64°49.544'	14°39.439'	64.82573	14.65732	531.0	Vegagerðin	2006	(null)
35965	Breiðdalsheiði	sj	64°54.410'	14°36.202'	64.90683	14.60337	480.0	Vegagerðin	1997	(null)
35978	Fáskrúðsfjarðargöng suður	sj	64°57.720'	14°10.500'	64.962	14.175	135.0	Vegagerðin	2008	2012
35985	Víkurgerði	sj	64°53.737'	13°51.282'	64.895615	13.854695	40.0	Vegagerðin	2018	(null)
36049	Reynisfjall	sj	63°27.124'	19°02.265'	63.45207	19.03775	125.0	Vegagerðin	2009	(null)
36122	Markarfljót	sj	63°37.294'	20°01.711'	63.621567	20.028517	42.0	Vegagerðin	2010	(null)
36127	Hvammur	sj	63°34.706'	19°54.097'	63.57843	19.90162	20.0	Vegagerðin	2001	(null)
36132	Steinar	sj	63°32.575'	19°41.434'	63.54292	19.69057	20.0	Vegagerðin	1997	(null)
36152	Hattgil undir Mýrdalsjökli	sj	63°31.845'	18°53.037'	63.53075	18.88395	170.0	Vegagerðin	2001	2001
36156	Mýrdalssandur	sj	63°27.969'	18°36.266'	63.46615	18.60443	35.0	Vegagerðin	1995	(null)
36270	Eldhraun	sj	63°44.015'	18°11.781'	63.73377	18.19772	90.0	Vegagerðin	2014	(null)
36308	Þjórsárbrú	sj	63°55.837'	20°39.918'	63.93062	20.6653	49.0	Vegagerðin	2004	(null)
36386	Lómagnúpur	sj	63°57.447'	17°33.302'	63.95745	17.55503	55.0	Vegagerðin	1999	(null)
36391	Gígjukvísl	sj	63°56.173'	17°21.016'	63.93622	17.35027	58.0	Vegagerðin	2014	(null)
36411	Skálholt	sj	64°07.937'	20°31.847'	64.13228	20.53078	60.0	Vegagerðin	1998	(null)
36415	Bræðratunguvegur	sj	64°09.453'	20°22.067'	64.15755	20.367783	66.0	Vegagerðin	2012	(null)
36504	Lyngdalsheiði	sj	64°12.109'	20°48.372'	64.20182	20.8062	215.0	Vegagerðin	2010	(null)
36519	Gullfoss	sj	64°18.460'	20°12.714'	64.30767	20.2119	191.0	Vegagerðin	2001	(null)
